put: Target query1.txt already exists
put: Target query2.txt already exists
13/02/21 19:51:42 WARN mapred.JobClient: Use GenericOptionsParser for parsing the arguments. Applications should implement Tool for the same.
13/02/21 19:51:42 INFO mapred.FileInputFormat: Total input paths to process : 256
13/02/21 19:51:43 INFO mapred.JobClient: Running job: job_201302052330_0277
13/02/21 19:51:44 INFO mapred.JobClient:  map 0% reduce 0%
13/02/21 19:52:05 INFO mapred.JobClient:  map 1% reduce 0%
13/02/21 19:52:13 INFO mapred.JobClient:  map 2% reduce 0%
13/02/21 19:52:20 INFO mapred.JobClient:  map 3% reduce 0%
13/02/21 19:52:27 INFO mapred.JobClient:  map 4% reduce 0%
13/02/21 19:52:35 INFO mapred.JobClient:  map 5% reduce 0%
13/02/21 19:52:41 INFO mapred.JobClient:  map 6% reduce 0%
13/02/21 19:52:50 INFO mapred.JobClient:  map 7% reduce 0%
13/02/21 19:52:56 INFO mapred.JobClient:  map 8% reduce 0%
13/02/21 19:53:03 INFO mapred.JobClient:  map 9% reduce 0%
13/02/21 19:53:11 INFO mapred.JobClient:  map 10% reduce 0%
13/02/21 19:53:17 INFO mapred.JobClient:  map 11% reduce 0%
13/02/21 19:53:25 INFO mapred.JobClient:  map 12% reduce 0%
13/02/21 19:53:37 INFO mapred.JobClient:  map 13% reduce 0%
13/02/21 19:53:38 INFO mapred.JobClient:  map 13% reduce 3%
13/02/21 19:53:41 INFO mapred.JobClient:  map 13% reduce 4%
13/02/21 19:53:44 INFO mapred.JobClient:  map 14% reduce 4%
13/02/21 19:53:50 INFO mapred.JobClient:  map 15% reduce 4%
13/02/21 19:53:58 INFO mapred.JobClient:  map 16% reduce 4%
13/02/21 19:54:05 INFO mapred.JobClient:  map 17% reduce 4%
13/02/21 19:54:12 INFO mapred.JobClient:  map 18% reduce 4%
13/02/21 19:54:18 INFO mapred.JobClient:  map 19% reduce 4%
13/02/21 19:54:26 INFO mapred.JobClient:  map 20% reduce 4%
13/02/21 19:54:33 INFO mapred.JobClient:  map 21% reduce 4%
13/02/21 19:54:40 INFO mapred.JobClient:  map 22% reduce 4%
13/02/21 19:54:47 INFO mapred.JobClient:  map 23% reduce 4%
13/02/21 19:54:54 INFO mapred.JobClient:  map 24% reduce 4%
13/02/21 19:55:03 INFO mapred.JobClient:  map 24% reduce 5%
13/02/21 19:55:04 INFO mapred.JobClient:  map 25% reduce 5%
13/02/21 19:55:09 INFO mapred.JobClient:  map 25% reduce 8%
13/02/21 19:55:12 INFO mapred.JobClient:  map 26% reduce 8%
13/02/21 19:55:19 INFO mapred.JobClient:  map 27% reduce 8%
13/02/21 19:55:26 INFO mapred.JobClient:  map 28% reduce 8%
13/02/21 19:55:33 INFO mapred.JobClient:  map 29% reduce 8%
13/02/21 19:55:40 INFO mapred.JobClient:  map 30% reduce 8%
13/02/21 19:55:47 INFO mapred.JobClient:  map 31% reduce 8%
13/02/21 19:55:53 INFO mapred.JobClient:  map 32% reduce 8%
13/02/21 19:56:00 INFO mapred.JobClient:  map 33% reduce 8%
13/02/21 19:56:07 INFO mapred.JobClient:  map 34% reduce 8%
13/02/21 19:56:14 INFO mapred.JobClient:  map 35% reduce 8%
13/02/21 19:56:21 INFO mapred.JobClient:  map 36% reduce 8%
13/02/21 19:56:27 INFO mapred.JobClient:  map 36% reduce 9%
13/02/21 19:56:31 INFO mapred.JobClient:  map 37% reduce 9%
